ID,Name,BP,N,m_edges,n1,n2,n3,n4,DRSO,mDRSO,SO,SDD,M1,M2,Randic,ABC,GA,R_equal,R_2,R_3,R_4,R_3_2,R_4_3,m12,m13,m14,m22,m23,m24,m33,m34,m44,WL_hash,sig_DRSO,sig_SDD,sig_SO
9,hexane,342.15,6,5,2,4,0,0,8.365746312736945,3.0914628437049743,12.95741732923815,11.0,18.0,16.0,2.914213562373095,3.5355339059327378,4.885618083164127,3,2,0,0,0,0,2,0,0,3,0,0,0,0,0,ba8f559e9cea3523175d97efff564fd5,"(3, 2, 0, 0, 0, 0)",11/1,"(0, 6, 2, 0, 0, 0)"
10,2-methylpentane,333.45,6,5,3,2,1,0,11.154166100906222,2.4639748867884643,14.994601698046727,13.333333333333334,20.0,18.0,2.770055610029662,3.7543135054150945,4.654655746264212,1,1,2,0,1,0,1,2,0,1,1,0,0,0,0,5f7f9ac0d6bf6a790314a8a210635f71,"(1, 1, 2, 0, 1, 0)",40/3,"(0, 2, 1, 2, 1, 0)"
11,3-methylpentane,336.45,6,5,3,2,1,0,10.424519938928835,2.5198524765302146,14.845516166095939,12.666666666666666,20.0,19.0,2.808060412490447,3.6449237056739165,4.7112352811751075,0,2,1,0,2,0,2,1,0,0,2,0,0,0,0,9a9423fad6cb0c6e3f47a9e71919c08c,"(0, 2, 1, 0, 2, 0)",38/3,"(0, 0, 2, 1, 2, 0)"
12,"2,2-dimethylbutane",322.85,6,5,4,1,0,1,16.14652028202871,1.7186819340074984,19.077520809352354,17.75,24.0,22.0,2.560660171779821,4.012289773726411,4.285618083164127,0,2,0,3,0,0,1,0,3,0,0,1,0,0,0,bfb53c47e002ead4069eb9d71f7a7a20,"(0, 2, 0, 3, 0, 0)",71/4,"(0, 0, 3, 0, 0, 3)"
13,"2,3-dimethylbutane",331.15,6,5,4,0,2,0,13.488060413222984,2.0322850940847057,16.891751327792804,15.333333333333336,22.0,21.0,2.6427344100918364,3.932652990377571,4.464101615137754,1,0,4,0,0,0,0,4,0,0,0,0,1,0,0,755f2758b5d07265246b0f4354005570,"(1, 0, 4, 0, 0, 0)",46/3,"(0, 3, 0, 4, 0, 0)"
14,heptane,371.55,7,6,2,5,0,0,9.779959875110041,3.7985696248915213,15.785844453984339,13.0,22.0,20.0,3.414213562373095,4.242640687119286,5.885618083164127,4,2,0,0,0,0,2,0,0,4,0,0,0,0,0,288b15bb5ffe29eb3c6e61d8d21f7491,"(4, 2, 0, 0, 0, 0)",13/1,"(0, 8, 2, 0, 0, 0)"
15,2-methylhexane,363.15,7,6,3,3,1,0,12.568379663279318,3.1710816679750113,17.823028822792917,15.333333333333334,24.0,22.0,3.270055610029662,4.461420286601642,5.654655746264212,2,1,2,0,1,0,1,2,0,2,1,0,0,0,0,f6f708725b4608c964bca5dfc68ec55a,"(2, 1, 2, 0, 1, 0)",46/3,"(0, 4, 1, 2, 1, 0)"
16,3-methylhexane,365.15,7,6,3,3,1,0,11.838733501301931,3.2269592577167616,17.67394329084213,14.666666666666666,24.0,23.0,3.308060412490447,4.352030486860464,5.7112352811751075,1,2,1,0,2,0,2,1,0,1,2,0,0,0,0,692d3dd5ee36a2c4edcfe746ce3f019e,"(1, 2, 1, 0, 2, 0)",44/3,"(0, 2, 2, 1, 2, 0)"
17,"2,2-dimethylpentane",352.35,7,6,4,2,0,1,17.560733844401806,2.425788715194046,21.905947934098545,19.75,28.0,26.0,3.0606601717798214,4.719396554912959,5.285618083164127,1,2,0,3,0,0,1,0,3,1,0,1,0,0,0,3d3af25c78768bd72c196b3a15680366,"(1, 2, 0, 3, 0, 0)",79/4,"(0, 2, 3, 0, 0, 3)"
18,"2,3-dimethylpentane",362.95,7,6,4,1,2,0,14.172627813618693,2.7952694650130034,19.571092920588203,16.666666666666668,26.0,26.0,3.1807392125526213,4.53036997182294,5.520681150048651,1,1,3,0,1,0,1,3,0,0,1,0,1,0,0,ebfe16b95fe92bbdbb8070eccad9512b,"(1, 1, 3, 0, 1, 0)",50/3,"(0, 3, 1, 3, 1, 0)"
19,"2,4-dimethylpentane",353.65,7,6,4,1,2,0,15.356799451448591,2.5435937110585014,19.860213191601495,17.666666666666668,26.0,24.0,3.125897657686229,4.680199886083999,5.423693409364296,0,0,4,0,2,0,0,4,0,0,2,0,0,0,0,37d774a3e8b0063d39f887c4d66ce84f,"(0, 0, 4, 0, 2, 0)",53/3,"(0, 0, 0, 4, 2, 0)"
20,"3,3-dimethylpentane",359.25,7,6,4,2,0,1,16.26182102217602,2.439311289532108,21.662619116234062,18.5,28.0,28.0,3.1213203435596424,4.5604779323150675,5.371236166328254,0,4,0,2,0,0,2,0,2,0,0,2,0,0,0,6f46671063dd4e6fb5dd3c0e2294644a,"(0, 4, 0, 2, 0, 0)",37/2,"(0, 0, 6, 0, 0, 2)"
21,3-ethylpentane,366.65,7,6,3,3,1,0,11.109087339324544,3.282836847458512,17.524857758891336,13.999999999999998,24.0,24.0,3.3460652149512318,4.242640687119286,5.767814816086004,0,3,0,0,3,0,3,0,0,0,3,0,0,0,0,6307e218d80417f31d54e49e328a5c17,"(0, 3, 0, 0, 3, 0)",14/1,"(0, 0, 3, 0, 3, 0)"
22,"2,2,3-trimethylbutane",354.05,7,6,5,0,1,1,19.59013472772648,2.0648102431546578,23.69387219718974,21.499999999999996,30.0,30.0,2.9433756729740645,4.876566597576671,5.121794126179664,0,0,2,3,0,1,0,2,3,0,0,0,0,1,0,70bfe61411e8bc90f41c766a190dc651,"(0, 0, 2, 3, 0, 1)",43/2,"(5, 0, 0, 2, 0, 3)"
23,octane,398.85,8,7,2,6,0,0,11.194173437483137,4.505676406078069,18.61427157873053,15.0,26.0,24.0,3.914213562373095,4.949747468305834,6.885618083164127,5,2,0,0,0,0,2,0,0,5,0,0,0,0,0,e7abfce4d73311c12485bf49b3a50e35,"(5, 2, 0, 0, 0, 0)",15/1,"(0, 10, 2, 0, 0, 0)"
24,2-methylheptane,390.75,8,7,3,4,1,0,13.982593225652414,3.8781884491615592,20.65145594753911,17.333333333333336,28.0,26.0,3.770055610029662,5.16852706778819,6.654655746264212,3,1,2,0,1,0,1,2,0,3,1,0,0,0,0,d791dbcbd65b174a2311ecd8fe716a9e,"(3, 1, 2, 0, 1, 0)",52/3,"(0, 6, 1, 2, 1, 0)"
25,3-methylheptane,391.15,8,7,3,4,1,0,13.252947063675027,3.9340660389033095,20.50237041558832,16.666666666666664,28.0,27.0,3.808060412490447,5.059137268047012,6.7112352811751075,2,2,1,0,2,0,2,1,0,2,2,0,0,0,0,26620c7e6f24d33c1a5a873f1c2825ba,"(2, 2, 1, 0, 2, 0)",50/3,"(0, 4, 2, 1, 2, 0)"
26,4-methylheptane,390.85,8,7,3,4,1,0,13.252947063675025,3.9340660389033095,20.50237041558832,16.666666666666664,28.0,27.0,3.808060412490447,5.059137268047012,6.7112352811751075,2,2,1,0,2,0,2,1,0,2,2,0,0,0,0,a5e7134dbd710486921c3428dc01dd5c,"(2, 2, 1, 0, 2, 0)",50/3,"(0, 4, 2, 1, 2, 0)"
27,"2,2-dimethylhexane",379.95,8,7,4,3,0,1,18.974947406774902,3.132895496380593,24.734375058844737,21.75,32.0,30.0,3.5606601717798214,5.426503336099507,6.285618083164127,2,2,0,3,0,0,1,0,3,2,0,1,0,0,0,34e5c803faf5ae512e01c81d3e73ce30,"(2, 2, 0, 3, 0, 0)",87/4,"(0, 4, 3, 0, 0, 3)"
28,"2,3-dimethylhexane",388.75,8,7,4,2,2,0,15.586841375991789,3.5023762461995513,22.399520045334395,18.666666666666668,30.0,30.0,3.6807392125526213,5.237476753009488,6.520681150048651,2,1,3,0,1,0,1,3,0,1,1,0,1,0,0,e851966a7256ed65424e816f743dd39d,"(2, 1, 3, 0, 1, 0)",56/3,"(0, 5, 1, 3, 1, 0)"
29,"2,4-dimethylhexane",382.55,8,7,4,2,2,0,16.0413668518443,3.3065780819867987,22.539554784396895,19.0,30.0,29.0,3.663902460147014,5.277916867529369,6.4802729442751925,0,1,3,0,3,0,1,3,0,0,3,0,0,0,0,dfe96599ee3a7fb05c7a7b4e9a32746c,"(0, 1, 3, 0, 3, 0)",19/1,"(0, 0, 1, 3, 3, 0)"
30,"2,5-dimethylhexane",382.15,8,7,4,2,2,0,16.771013013821687,3.2507004922450484,22.688640316347684,19.666666666666664,30.0,28.0,3.625897657686229,5.387306667270547,6.423693409364296,1,0,4,0,2,0,0,4,0,1,2,0,0,0,0,13041bbb58ae1daa189a074a6e996b4c,"(1, 0, 4, 0, 2, 0)",59/3,"(0, 2, 0, 4, 2, 0)"
31,"3,3-dimethylhexane",385.15,8,7,4,3,0,1,17.676034584549114,3.1464180707186555,24.491046240980253,20.5,32.0,32.0,3.6213203435596424,5.267584713501615,6.371236166328254,1,4,0,2,0,0,2,0,2,1,0,2,0,0,0,90b741b145c10dd75ad966c3c66ea31b,"(1, 4, 0, 2, 0, 0)",41/2,"(0, 2, 6, 0, 0, 2)"
32,"3,4-dimethylhexane",390.85,8,7,4,2,2,0,14.857195214014402,3.5582538359413007,22.250434513383603,18.0,30.0,31.0,3.718744015013406,5.128086953268309,6.577260684959546,1,2,2,0,2,0,2,2,0,0,2,0,1,0,0,688d699a8891e5347ffd89a9174e783c,"(1, 2, 2, 0, 2, 0)",18/1,"(0, 3, 2, 2, 2, 0)"
33,3-ethylhexane,391.65,8,7,3,4,1,0,12.52330090169764,3.98994362864506,20.353284883637528,15.999999999999998,28.0,28.0,3.8460652149512318,4.949747468305834,6.767814816086004,1,3,0,0,3,0,3,0,0,1,3,0,0,0,0,83d37fae84c9cf2723d04c3e23809051,"(1, 3, 0, 0, 3, 0)",16/1,"(0, 2, 3, 0, 3, 0)"
34,"2,2,3-trimethylpentane",383.15,8,7,5,1,1,1,20.274702128122186,2.827794614082955,26.37321378998514,22.833333333333332,34.0,35.0,3.481380475434849,5.47428357902204,6.17837366109056,0,1,1,3,1,1,1,1,3,0,1,0,0,1,0,d4d75b44d80e47a911a5004ae0dd9349,"(0, 1, 1, 3, 1, 1)",137/6,"(5, 0, 1, 1, 1, 3)"
35,"2,2,4-trimethylpentane",372.35,8,7,5,1,1,1,21.763367194944173,2.505407539464083,26.771559427653308,24.083333333333332,34.0,32.0,3.416502219436388,5.6452829355818634,6.054655746264211,0,1,2,3,1,0,0,2,3,0,1,1,0,0,0,2ee46dbd8f5ad46ec5ba82b0eb28d498,"(0, 1, 2, 3, 1, 0)",289/12,"(0, 0, 2, 2, 1, 3)"
36,"2,3,3-trimethylpentane",387.85,8,7,5,1,1,1,19.705435467873787,2.7854395986792673,26.278970504071452,22.25,34.0,36.0,3.504035844753886,5.424754756165328,6.207412209343791,0,2,2,2,0,1,1,2,2,0,0,1,0,1,0,e43467bcdb342f92162e56537ba42731,"(0, 2, 2, 2, 0, 1)",89/4,"(5, 0, 3, 2, 0, 2)"
