N,n,descriptor,R2,Q2_LOO,RMSE_LOO,MAE_LOO
6,5,DRSO,0.9719173687394366,0.9351356763919394,1.6190099637528974,1.484416889148258
6,5,mDRSO,0.9417463818922115,0.8082891328763512,2.7833635811394575,2.534096419483808
6,5,SO,0.9668273067938794,0.9317089388756498,1.6612251793358515,1.5176612306326092
6,5,SDD,0.9718663864529028,0.9368043117844009,1.598049761136253,1.4851344222969487
6,5,M1,0.9576346683032096,0.907195279871664,1.9365628991267216,1.796985645932989
6,5,M2,0.8414343398138613,0.5894934514419274,4.072926936473458,3.6722307692307252
6,5,Randic,0.9433290674215093,0.8306576050268042,2.615949907361531,2.080082174940435
6,5,ABC,0.9090660468442666,0.7086749138310338,3.431116911753714,2.8617055995822627
6,5,GA,0.9652058087086995,0.9077407237234105,1.930863604206023,1.6303286239035515
7,9,DRSO,0.8383973755635852,0.7093192734756651,3.3577362761369542,2.7299778963277452
7,9,mDRSO,0.8533768116672116,0.776696585244196,2.942972110022542,2.4459281764249123
7,9,SO,0.7637554810470786,0.6219358156330335,3.8293162312982285,3.2691763722715828
7,9,SDD,0.8317227645749188,0.694278977683677,3.4435081548083213,2.776784942164587
7,9,M1,0.7317328132806598,0.5781938753870088,4.044780000692464,3.5302235412957166
7,9,M2,0.4803392003079652,0.2465392979795913,5.405909453213139,4.763160074443779
7,9,Randic,0.8472191003365096,0.7090581034191085,3.359244362507761,2.7202946158569024
7,9,ABC,0.8712957939994096,0.7335886676875257,3.2145102241981944,2.7269138331068032
7,9,GA,0.8495171005525644,0.7320807300624654,3.223594749783463,2.6646088025632744
8,18,DRSO,0.6608813864570782,0.5031526655130872,4.163812482446598,3.0976687799836213
8,18,mDRSO,0.6754771674155606,0.5790112520078505,3.832789118434161,2.9035359598967463
8,18,SO,0.5544686838336039,0.40371674923029544,4.5614822149788665,3.303225291343586
8,18,SDD,0.6549535312131418,0.4868178986613232,4.231705452494975,3.1222787136842793
8,18,M1,0.5110159600094129,0.3614640747229211,4.720329864909275,3.4553359976298452
8,18,M2,0.2435606931122697,0.07663337566322603,5.67631864561292,4.227556217273177
8,18,Randic,0.6670949383866853,0.5211787903484959,4.08758098714451,3.16081031089387
8,18,ABC,0.7406055802174519,0.611476246369258,3.682039715729039,2.925844574600376
8,18,GA,0.670858936766088,0.5302053596467509,4.04886885151654,3.0734576757766185
9,35,DRSO,0.4700056525755796,0.3776803676644285,4.776889225141023,3.678438605013988
9,35,mDRSO,0.46661390735442243,0.3871196076201312,4.740523272201272,3.6217736588764944
9,35,SO,0.3414497757247297,0.22578051481812944,5.328076697793071,4.152609043232648
9,35,SDD,0.467440494448222,0.3735736930873643,4.792624605807982,3.689998079078178
9,35,M1,0.2923009686112965,0.16809491481679473,5.523003377099058,4.313600888968381
9,35,M2,0.05241743660921183,-0.08807332610674101,6.3163691128723265,5.126431920601798
9,35,Randic,0.4702135330953331,0.3763953607120353,4.78181850111321,3.675840813427528
9,35,ABC,0.5631757837874677,0.4935080754083271,4.309478139158502,3.32280864229207
9,35,GA,0.47335791339728006,0.3834614321835156,4.754649899197874,3.6673124236676196
10,75,DRSO,0.23801349485546064,0.18077824509112828,6.257910483446985,4.857771548402563
10,75,mDRSO,0.22295342034673804,0.17231266200247308,6.290161032120016,4.81809784728675
10,75,SO,0.12053568635,0.059110759144677893,6.706529809352579,5.250036467178426
10,75,SDD,0.2382201438916507,0.1801749612663578,6.260214256120502,4.8681580690728525
10,75,M1,0.08469991609826066,0.02276674512773702,6.8348301544780234,5.3637782674673735
10,75,M2,0.0015282120788728815,-0.057756781446081096,7.110849996349904,5.561496752305798
10,75,Randic,0.23516389281821326,0.17900626174424505,6.264674783357501,4.8503351523511435
10,75,ABC,0.3750485469115664,0.3263044855004824,5.6749290476035075,4.345224965920405
10,75,GA,0.23801094085133134,0.18229441545629788,6.252116904097634,4.838188340117194
