N,n,index,n_classes,collision_excess,L_I_BP,empirical_oracle_R2_ceiling,empirical_oracle_RMSE_floor,empirical_oracle_MAE_floor
6,5,SO,5,0,0.0,1.0,0.0,0.0
6,5,DRSO/mDRSO,5,0,0.0,1.0,0.0,0.0
6,5,SDD,5,0,0.0,1.0,0.0,0.0
7,9,SO,9,0,0.0,1.0,0.0,0.0
7,9,DRSO/mDRSO,9,0,0.0,1.0,0.0,0.0
7,9,SDD,9,0,0.0,1.0,0.0,0.0
8,18,SO,16,2,2.2500000000000338,0.9964177932191036,0.35355339059327645,0.13333333333333208
8,18,DRSO/mDRSO,16,2,2.2500000000000338,0.9964177932191036,0.35355339059327645,0.13333333333333208
8,18,SDD,16,2,2.2500000000000338,0.9964177932191036,0.35355339059327645,0.13333333333333208
9,35,SO,28,7,15.131449999999795,0.9882094065648669,0.657515887912328,0.4105714285714255
9,35,DRSO/mDRSO,28,7,15.131449999999795,0.9882094065648669,0.657515887912328,0.4105714285714255
9,35,SDD,24,11,118.6581166666671,0.9075402812423602,1.8412582395638903,1.1343809523809503
10,75,SO,49,26,88.19693333333336,0.9754000057790984,1.0844164841568535,0.5395111111111138
10,75,DRSO/mDRSO,49,26,88.19693333333336,0.9754000057790984,1.0844164841568535,0.5395111111111138
10,75,SDD,40,35,621.4104333333329,0.8266754580793292,2.878449659876726,1.5872444444444485
