N,descriptor,R2_observed,p_permutation,exceedances,p_BH_FDR_within_N
6,DRSO,0.971917368739437,0.007999200079992,79,0.018898110188981104
6,mDRSO,0.9417463818922114,0.029897010298970104,298,0.033634136586341366
6,SO,0.9668273067938781,0.008399160083991601,83,0.018898110188981104
6,SDD,0.9718663864529032,0.008099190080991902,80,0.018898110188981104
6,M1,0.9576346683032091,0.0174982501749825,174,0.02378333595211907
6,M2,0.8414343398138615,0.03569643035696431,356,0.03569643035696431
6,Randic,0.9433290674215086,0.0174982501749825,174,0.02378333595211907
6,ABC,0.9090660468442656,0.0184981501849815,184,0.02378333595211907
6,GA,0.9652058087086994,0.008099190080991902,80,0.018898110188981104
7,DRSO,0.8383973755635843,0.000999900009999,9,0.0017998200179982
7,mDRSO,0.8533768116672127,0.0005999400059994001,5,0.0017998200179982
7,SO,0.7637554810470787,0.0036996300369963003,36,0.004756667190423815
7,SDD,0.8317227645749181,0.000999900009999,9,0.0017998200179982
7,M1,0.7317328132806599,0.0047995200479952005,47,0.0053994600539946005
7,M2,0.48033920030796506,0.039196080391960805,391,0.039196080391960805
7,Randic,0.8472191003365106,0.000999900009999,9,0.0017998200179982
7,ABC,0.8712957939994099,0.0005999400059994001,5,0.0017998200179982
7,GA,0.8495171005525625,0.0011998800119988001,11,0.0017998200179982
8,DRSO,0.6608813864570793,9.999000099990002e-05,0,0.00017998200179982003
8,mDRSO,0.6754771674155601,0.00029997000299970003,2,0.00038567571814247147
8,SO,0.5544686838336044,9.999000099990002e-05,0,0.00017998200179982003
8,SDD,0.6549535312131414,0.00029997000299970003,2,0.00038567571814247147
8,M1,0.5110159600094126,0.0008999100089991,8,0.0010123987601239875
8,M2,0.2435606931122684,0.035096490350964904,350,0.035096490350964904
8,Randic,0.6670949383866857,9.999000099990002e-05,0,0.00017998200179982003
8,ABC,0.7406055802174524,9.999000099990002e-05,0,0.00017998200179982003
8,GA,0.6708589367660885,9.999000099990002e-05,0,0.00017998200179982003
9,DRSO,0.47000565257558,9.999000099990002e-05,0,0.00014998500149985002
9,mDRSO,0.46661390735442226,9.999000099990002e-05,0,0.00014998500149985002
9,SO,0.34144977572472796,0.00039996000399960006,3,0.0005142342908566286
9,SDD,0.46744049444822255,9.999000099990002e-05,0,0.00014998500149985002
9,M1,0.2923009686112977,0.0012998700129987,12,0.0014623537646235377
9,M2,0.052417436609212,0.1852814718528147,1852,0.1852814718528147
9,Randic,0.47021353309533404,9.999000099990002e-05,0,0.00014998500149985002
9,ABC,0.5631757837874666,9.999000099990002e-05,0,0.00014998500149985002
9,GA,0.4733579133972818,9.999000099990002e-05,0,0.00014998500149985002
10,DRSO,0.2380134948554611,9.999000099990002e-05,0,0.00014998500149985002
10,mDRSO,0.22295342034673776,9.999000099990002e-05,0,0.00014998500149985002
10,SO,0.12053568635000061,0.0020997900209979003,20,0.0026997300269973007
10,SDD,0.23822014389165008,9.999000099990002e-05,0,0.00014998500149985002
10,M1,0.08469991609826055,0.012398760123987601,123,0.013948605139486052
10,M2,0.00152821207887162,0.7385261473852615,7385,0.7385261473852615
10,Randic,0.23516389281821343,9.999000099990002e-05,0,0.00014998500149985002
10,ABC,0.3750485469115664,9.999000099990002e-05,0,0.00014998500149985002
10,GA,0.2380109408513312,9.999000099990002e-05,0,0.00014998500149985002
