model,Q2_CV,delta_Q2_vs_N,RMSE_CV,MAE_CV
N (size only),0.9393746229384901,,6.7178110560522155,5.350256097864931
N + ABC,0.9671170020711268,0.027742379132636774,4.94750521874569,3.7383073544182337
N + GA,0.9600051523084044,0.020630529369914385,5.456354541705354,4.20344392294573
N + DRSO,0.9598272137191664,0.020452590780676294,5.468478835118105,4.213327627173404
N + Randic,0.9598150530409945,0.020440430102504403,5.469306452337962,4.214330121917152
N + SDD,0.959727011850104,0.02035238891161395,5.475294525428837,4.220336475110243
N + mDRSO,0.9595080495265538,0.02013342658806372,5.490158806844095,4.2103250846648566
N + SO,0.9522545621390065,0.012879939200516444,5.961650316278989,4.661249733301263
N + M1,0.9496064010220259,0.010231778083535814,6.124748305846879,4.8105892620041555
N + M2,0.9392859865834611,-8.863635502898148e-05,6.722720096081218,5.379558434529453
